match_key,puuid,summoner_name,riot_id_game_name,riot_id_tag_line,champion_id,champion_name,team_id,team_position,win,kills,deaths,assists,kda,cs_total,cs_per_minute,gold_earned,gold_per_minute,damage_dealt,damage_per_minute,vision_score,control_wards_purchased,kill_participation,champion_level,items
22,MgCB-Pccoo6kmcJ2899mSCkFcQoOVXYOXnpHwHCJ-fpN6NBbFEj-n7YH_6bqLgZpZDl5XgOZoB5kdQ,tagerian,tagerian,,516,Ornn,200,TOP,0,3,7,15,2.57,158,3.99,11686,295.35,19145,483.87,25,0,0.643,17,"[6665, 3047, 3075, 3742, 6660, 0, 3340]"
22,22mmrsZOQWXuMiAv_ZenZPQVJVgGXWMvZmd8S1tzTNrdtorMtCQ9-G5kfTk10zCjYZwIdBTuAZsNTQ,MeditatioMalorum,MeditatioMalorum,,141,Kayn,200,JUNGLE,0,3,12,6,0.75,165,4.17,11483,290.22,8627,218.04,48,10,0.321,15,"[6692, 6697, 3047, 2055, 6701, 0, 3364]"
22,lsSHkFIqM31VjBWbZFrib5Pypt73AjK5qrIxkj2Vb1Pj44orhfvkTenWSARMGaNKWttNFKUDKILbSQ,,Light,,268,Azir,200,MIDDLE,0,13,15,6,1.27,175,4.42,14580,368.49,40800,1031.17,29,3,0.679,16,"[6653, 0, 3020, 0, 4633, 3115, 3340]"
22,9DWXDKtGwBW1kpQAoGs74fNg-Wy-FjVNm2P9g40Xb5P3wzcAyKRUH4nx4q1tD7xIiN1fkhc8s8kqGw,wsj459,wsj459,,236,Lucian,200,BOTTOM,0,5,9,8,1.44,221,5.59,13669,345.47,23390,591.15,21,0,0.464,16,"[3508, 3031, 3009, 6675, 3035, 1018, 3340]"
22,WD6ZyrInHL8CLl6qbLbleYEOTvhfv859-LN6rS_rBcU6_a3-OFGsg-vwUwlNwMEdelJ1-Y22a-fqzg,Nautìlus,Nautìlus,,20,Nunu,200,UTILITY,0,4,10,12,1.6,78,1.97,11110,280.79,15230,384.92,60,3,0.571,15,"[3876, 3157, 3020, 6655, 3075, 0, 3364]"
23,heg3pvfXxgWbwJCZ8JjGHjgQy2rc0HkpWXOT1iRfpd4Ab04YExmZp-Wtb3hobn8mmSenPc27TOvLIg,,bigmoma70,,75,Nasus,100,TOP,1,4,8,14,2.25,137,4.13,10878,327.82,11313,340.92,14,0,0.409,16,"[3065, 3158, 3078, 3110, 0, 0, 3340]"
23,ueRRWn4YMCWyccayXOyxRuQpqGxlZiYNrqf6jMu_XfpDuKsYnN2_3bi-0s9azzcrdC_URZt8OX8g4A,H0MEWR3CKER,HOMEWRECKER,,234,Viego,100,JUNGLE,1,8,6,18,4.33,179,5.39,13231,398.72,24754,745.98,25,2,0.591,16,"[6672, 6610, 3047, 3153, 1028, 1028, 3364]"
23,wEGsijLPYs1SqeEBoiFiiMOip1rXq8fODUd9-vpnCnMCOfifGHZDaCp1QgBznJovTG7fsLmVr9wt8Q,ExtremeGeckos71,ExtremeGeckos71,,799,Ambessa,100,MIDDLE,1,22,2,15,18.5,212,6.39,18463,556.39,54452,1640.94,21,0,0.841,18,"[1037, 6699, 3111, 6692, 3071, 6333, 3340]"
23,V8uEz6soWxlbU6aD8u5--9l-pw0QYCkkOzGlJtDn9wBWj4jl1xgdWVXh0UR_GQUlPnTjArU-eL7j_g,Pullsse,Pulse,,51,Caitlyn,100,BOTTOM,1,6,10,15,2.1,137,4.13,11679,351.95,22156,667.68,8,0,0.477,15,"[3006, 3031, 6676, 3086, 3144, 1055, 3363]"
23,WD6ZyrInHL8CLl6qbLbleYEOTvhfv859-LN6rS_rBcU6_a3-OFGsg-vwUwlNwMEdelJ1-Y22a-fqzg,Nautìlus,Nautìlus,,223,TahmKench,100,UTILITY,1,4,6,9,2.17,44,1.33,9408,283.52,13178,397.13,61,5,0.295,15,"[3876, 2502, 1033, 3111, 3068, 3076, 3364]"
23,WJ7zcL15qtvGdz2qyFa-rNw7FeEifXL8OPVksip7rGRYlnV6uogOt0tkxf4pv_AzxxbA0m3VA4yr2Q,Purple Whizz,Purple Whiz,,106,Volibear,200,TOP,0,7,9,4,1.22,184,5.54,13622,410.51,35908,1082.11,20,1,0.344,16,"[2502, 6657, 3009, 3115, 3075, 1053, 3340]"
